ID;Количество комнат;Тип;район;Адрес;Площадь, м2;Этаж;Цена;Ремонт;Ссылка на объявление
298599857;1;Продажа квартиры в новостройке;Октябрьский;Иркутская область, Иркутск, ИВАТУ городок;39.36;12/16;5620500;;https://www.cian.ru/sale/flat/298599857
298599844;1;Продажа квартиры в новостройке;Октябрьский;Иркутская область, Иркутск, ИВАТУ городок;39.36;11/16;5620500;;https://www.cian.ru/sale/flat/298599844
298599698;1;Продажа квартиры в новостройке;Октябрьский;Иркутская область, Иркутск, ИВАТУ городок;40.32;4/16;5649210;;https://www.cian.ru/sale/flat/298599698
298600502;1;Продажа квартиры в новостройке;Октябрьский;Иркутская область, Иркутск, ИВАТУ городок;39.36;10/16;5620500;;https://www.cian.ru/sale/flat/298600502
298600926;1;Продажа квартиры в новостройке;Октябрьский;Иркутская область, Иркутск, ИВАТУ городок;39.35;10/16;5619000;;https://www.cian.ru/sale/flat/298600926
298600904;1;Продажа квартиры в новостройке;Октябрьский;Иркутская область, Иркутск, ИВАТУ городок;36.54;9/16;5600000;;https://www.cian.ru/sale/flat/298600904
298600880;1;Продажа квартиры в новостройке;Октябрьский;Иркутская область, Иркутск, ИВАТУ городок;36.54;8/16;5600000;;https://www.cian.ru/sale/flat/298600880
298600802;1;Продажа квартиры в новостройке;Октябрьский;Иркутская область, Иркутск, ИВАТУ городок;36.54;5/16;5600000;;https://www.cian.ru/sale/flat/298600802
298599989;1;Продажа квартиры в новостройке;Октябрьский;Иркутская область, Иркутск, ИВАТУ городок;39.35;10/16;5619000;;https://www.cian.ru/sale/flat/298599989
287276542;1;Продажа квартиры в новостройке;Октябрьский;Иркутская область, Иркутск, ИВАТУ городок, Авиатор ЖК, с9/2;34.9;4/9;5619100;;https://www.cian.ru/sale/flat/287276542
298599598;1;Продажа квартиры в новостройке;Октябрьский;Иркутская область, Иркутск, ИВАТУ городок, Авиатор ЖК;36.25;14/16;5657730;;https://www.cian.ru/sale/flat/298599598
298599569;1;Продажа квартиры в новостройке;Октябрьский;Иркутская область, Иркутск, ИВАТУ городок, Авиатор ЖК;36.25;13/16;5657730;;https://www.cian.ru/sale/flat/298599569
298599542;1;Продажа квартиры в новостройке;Октябрьский;Иркутская область, Иркутск, ИВАТУ городок, Авиатор ЖК;36.25;12/16;5657730;;https://www.cian.ru/sale/flat/298599542
